customer_code,customer_name,country
00716,(주)대동포리마,KR
00717,(주)풍림오토테크,KR
00719,원진상사,KR
00720,대광케이블,KR
00721,대덕상사,KR
00722,동진포장산업,KR
00723,유유과학계측기,KR
00724,제일상공사,KR
00725,에스케이텔링크(주),KR
00726,(주)이큐이엔지,KR
00727,(주)대하,KR
00728,(주)부쉬에스브이지코리아,KR
00729,(주)아이엔티,KR
00730,(주)디에스엠,KR
00731,(주)영성멀티텍,KR
00732,지앤지테크,KR
00733,에프피아이(FPI),KR
00734,(주)유피케미칼,KR
00735,대성ENG,KR
00736,KQMA M&C,KR
00737,(주)시원광기술,KR
00739,투더블유로직스(주),KR
00740,(주)인솔빅,KR
00741,(주)비즈니스온커뮤니케이션,KR
00742,엘지전자(주),KR
00744,(주)온라인나라,KR
00746,대동포리마 화성지점,KR
00747,그린플로우테크,KR
00748,(주)수연지엘에스인천항지점,KR
00749,(주)에이유에스세미컨덕터,KR
00750,히탑코리아,KR
00751,(주)티티엘,KR
00752,㈜엘지유플러스,KR
00753,(주)티모스,KR
00754,ECOMICRON INC,KR
00755,AKT RECEIVING,KR
00757,국제기업사,KR
00759,한성금속,KR
00760,내쇼날프라텍,KR
00761,동진자재공구,KR
00763,유나이티드파슬,KR
00764,WUXI INTL TRADE DEBEL,KR
00765,새롬테크,KR
00766,제이에스교역,KR
00767,현대바퀴,KR
00768,한아름꽃백화점,KR
00769,영진SDS,KR
00770,(주)이베이지마켓,KR
00771,천지인물류,KR
00772,에이치코리아,KR
00773,신일에스알엠,KR
00774,기분좋은가게,KR
00775,삼성인더스,KR
00777,중앙샤링,KR
00778,에스케이와이번,KR
00779,(주)인터파크,KR
00780,화인테크산업,KR
00781,신기SC,KR
00782,금영유리알미늄,KR
00783,케이트론,KR
00784,(주)보부하이테크,KR
00785,에이앤비시스템,KR
00786,대광고무,KR
00787,RPM(알피엠),KR
00788,(주)나인기전,KR
00789,(주)에이펙스국제운송,KR
00790,(주)아프로R&D,KR
00791,(주)아라미디어솔루션,KR
00792,한국애질런트테크놀로지스（주）,KR
00793,동서전자,KR
00794,대진카독크,KR
00795,현대항공여행사,KR
00796,(주)한국외환은행,KR
00797,JEAN SEMI TECH PTE LTD,KR
00798,FLEMALZJF,KR
00800,(주)쿠니커뮤니케이션,KR
00801,대한산업안전사,KR
00802,한국에이엠에프,KR
00806,제이에쓰씨앤티,KR
00817,(주)성담시화,KR
00818,(주)현대상공사,KR
00819,현대DC,KR
00820,대성산업(주),KR
00823,WUXI INNORES PRECISION,KR
00824,성일테크,KR
00826,다경,KR
00827,세미테크(주),KR
00829,알에스티（RST）,KR
00830,(주)예스쿨,KR
00831,(주)지에이치아이,KR
00832,(주)가구뱅크,KR
00833,(주)윌비에스엔티,KR
00834,태하특허법률사무소,KR
00835,빙그레우유반월공단대리점,KR
00836,(주)에이멕,KR
00838,롯데글로벌로지스(주),KR
00839,동남휄트,KR
00840,블루테크,KR
00841,(주)유빈이앤디,KR
00842,(주)용광통상,KR
00843,(주)백성,KR
00844,(주)파인엠브이,KR
00845,(주)더존뉴턴스,KR
00846,선광종합물류(주),KR
00847,(주)케이.더블유.이 코리아,KR
00848,태영상선 주식회사,KR
00849,ALU CORP,KR
00851,(재)한국산업훈련협회,KR
00854,태진상사,KR
00856,평안정밀,KR
00871,태정,KR
00873,이중구,KR
00882,SEMI,KR
00883,이도형,KR
00885,KEMET ELECTRONICS,KR
00887,(주)에스디앤티,KR
00888,크린팩토메이션(주),KR
00889,한솔아이원스 주식회사,KR
00890,피에스테크놀러지㈜,KR
00892,에이엠케이,KR
00893,(주)아이엠,KR
00895,리프트코리아,KR
00896,(주)동신산업,KR
00897,한국사이언스코 주식회사,KR
00898,지오TSC,KR
00899,(주)정애상사,KR
00900,수출,KR
00901,현대해상화재보험,KR
00902,"삼성생명보험(2,000,000원)",KR
00903,LIG 손해보험주식회사,KR
00904,김경일,KR
00905,나오미테크,KR
00906,반월시스템베어링,KR
00907,고려전기상사,KR
00908,(주)코리아이엔티,KR
00909,(주)인화세이프티,KR
00910,매탄104-403(기숙사),KR
00911,급여및임금,KR
00912,국민연금관리공단,KR
00913,국민건강보험공단,KR
00914,근로복지공단,KR
00915,네오아트플레이스(주),KR
00916,AIG생명보험,KR
00917,"미래에셋생명(10,150,000원)",KR
00918,대표자,KR
00919,충주세무서,KR
00920,진천군청,KR
00921,연말정산환급분,KR
00923,SHANGHAI IRS,KR
00924,동부화재해상보험,KR
00925,대경정밀,KR
00926,(주)스타로직스,KR
00927,썬툴,KR
00930,(주)필랜드,KR
00931,동명전연서울센타,KR
00934,코리아이플랫폼(주),KR
00936,수입,KR
00939,장준석,KR
00940,임동하,KR
00941,이현진,KR
00943,TAYLOR INVESTMENT,KR
00945,(주)정원웰콘,KR
00946,김세환,KR
00947,오토플러스,KR
00948,한국반도체산업협회,KR
00949,이도겸,KR
00950,권병규,KR
00952,(주)플러스비전,KR
00953,(주)동진산업,KR
00957,인벡스,KR
00959,(주)메저텍코리아,KR
00960,영일SRT,KR
00961,성진전기,KR
00963,아이엔에스엘티디(유),KR
00964,동우가스텍,KR
00965,내셔날에이스,KR
00966,(주)피스코인터내셔널,KR
00967,조일환경산업,KR
00973,김포동원관세사무소,KR
00974,신광종합상사,KR
00975,대광루브텍,KR
00976,북부치과상사,KR
00978,(주)위지트,KR
00979,삼성디스플레이(주),KR
00980,(주)나노테크,KR
00981,(주)리모템,KR
00982,풍림특수강,KR
00983,(주)동신티티엠,KR
00985,대한기업사,KR
00986,(주)성진테크,KR
00987,기산시스템,KR
00988,(주)한국교정기술원,KR
00989,(주)에이티에스,KR
00990,(주)지앤지엠씨,KR
00991,(주)알세라코,KR
00992,(주)이레테크,KR
00993,(주)세신유나이티드,KR
00994,(주)브이온,KR
00995,에치케이알,KR
00996,성우정공,KR
00997,원효정밀,KR
00998,형제상사,KR
00999,우주케미칼상사,KR
01000,(재)한국품질재단,KR
01001,일신,KR
01002,(주)위드프렌즈,KR
01003,에이치에스티(주),KR
01008,(주)디카몰,KR
01009,(주)티로보틱스,KR
01010,(주)거성,KR
01011,(주)부쉬매뉴팩처링코리아,KR
01012,한국알박(주),KR
01013,한라나이스테크,KR
01014,(주)코디에스,KR
01015,(주)엘티엘,KR
01016,(주)그로피아,KR
01017,선진자동차(주),KR
01018,(주)이큐베스텍,KR
01019,(주)거산산업,KR
01020,(주)ESD솔루션,KR
01022,재이교역,KR
01023,진현테크,KR
01024,동진포장공구,KR
01025,(사)대한산업안전협회 안산지회,KR
01026,소모품센터,KR
01027,한국무역보험공사,KR
01028,케미스(주),KR
01030,(주)신성기공,KR
01031,한국특수금속,KR
01032,송일종합상사,KR
01033,(주)유비온,KR
01034,월드물류,KR
01035,드림이샵,KR
01036,삼정TECH,KR
01038,"SUMITOMO SHOJI CHEMICALS CO.,L",KR
01039,제이에스테크,KR
01040,아이디플러스,KR
01041,이레유통,KR
01042,ADIT,KR
01045,(주)에스앤디엔지니어링,KR
01046,(주)야스,KR
01047,(주)지에스티산업,KR
01048,성신콤프레샤,KR
01049,신영,KR
01050,퍼시스프로미,KR
01051,(주)아이엠펀,KR
