parent_product_id,component_product_id,usage_qty
00001-A010078,00001-B010078,1
00001-A010079,00001-B010079,1
00001-A010080,00001-B010080,1
00001-A010081,00001-B010081,1
00001-A010082,00001-B010082,1
00001-A010083,00001-B010083,1
00001-A010084,00001-B010084,1
00001-A010085,00001-B010085,1
00001-A010086,00001-B010086,1
00001-A010087,00001-B010087,1
00001-A010088,00001-B010088,1
00001-A010089,00001-B010089,1
00001-A010090,00001-B010090,1
00001-A010091,00001-B010091,1
00001-A010092,00001-B010092,1
00001-A010093,00001-B010093,1
00001-A010094,00001-B010094,1
00001-A010095,00001-B010095,1
00001-A010096,00001-B010096,1
00001-A010097,00001-B010097,1
00001-A010098,00001-B010098,1
00001-A010099,00001-B010099,1
00001-A010100,00001-B010100,1
00001-A010101,00001-B010101,1
00001-A010102,00001-B010102,1
00001-A010103,00001-B010103,1
00001-A010104,00001-B010104,1
00001-A010105,00001-B010105,1
00001-A010106,00001-B010106,1
00001-A010107,00001-B010107,1
00001-A010108,00001-B010108,1
00001-A010109,00001-B010109,1
00001-A010110,00001-B010110,1
00001-A010111,00001-B010111,1
00001-A010112,00001-B010112,1
00001-A010113,00001-B010113,1
00001-A010114,00001-B010114,1
00001-A010115,00001-B010115,1
00001-A010116,00001-B010116,1
00001-A010117,00001-B010117,1
00001-A010118,00001-B010118,1
00001-A010119,00001-B010119,1
00001-A010120,00001-B010120,1
00001-A010121,00001-B010121,1
00001-A010122,00001-B010122,1
00001-A010123,00001-B010123,1
00001-A010124,00001-B010124,1
00001-A010125,00001-B010125,1
00001-A010126,00001-B010126,1
00001-A010127,00001-B010127,1
00001-A010128,00001-B010128,1
00001-A010129,00001-B010129,1
00001-A010130,00001-B010130,1
00001-A010131,00001-B010131,1
00001-A010132,00001-B010132,1
00001-A010133,00001-B010133,1
00001-A010134,00001-B010134,1
00001-A010135,00001-B010135,1
00001-A010136,00001-B010136,1
00001-A010137,00001-B010137,1
00001-A010138,00001-B010138,1
00001-A010139,00001-B010139,1
00001-A010140,00001-B010140,1
00001-A010141,00001-B010141,1
00001-A010142,00001-B010142,1
00001-A010143,00001-B010143,1
00001-A010144,00001-B010144,1
00001-A010145,00001-B010145,1
00001-A010146,00001-B010146,1
00001-A010147,00001-B010147,1
00001-A010148,00001-B010148,1
00001-A010149,00001-B010149,1
00001-A010150,00001-B010150,1
00001-A010151,00001-B010151,1
00001-A010152,00001-B010152,1
00001-A010153,00001-B010153,1
00001-A010154,00001-B010154,1
00001-A010155,00001-B010155,1
00001-A010156,00001-B010156,1
00001-A010157,00001-B010157,1
00001-A010158,00001-B010158,1
00001-A010159,00001-B010159,1
00001-A010160,00001-B010160,1
00001-A010161,00001-B010161,1
00001-A010162,00001-B010162,1
00001-A010163,00001-B010163,1
00001-A010164,00001-B010164,1
00001-A010165,00001-B010165,1
00001-A010166,00001-B010166,1
00001-A010167,00001-B010167,1
00001-A010168,00001-B010168,1
00001-A010169,00001-B010169,1
00001-A010170,00001-B010170,1
00001-A010171,00001-B010171,1
00001-A010172,00001-B010172,1
00001-A010173,00001-B010173,1
00001-A010174,00001-B010174,1
00001-A010175,00001-B010175,1
00001-A010176,00001-B010176,1
00001-A010177,00001-B010177,1
00001-A010178,00001-B010178,1
00001-A010179,00001-B010179,1
00001-A010180,00001-B010180,1
00001-A010181,00001-B010181,1
00001-A010182,00001-B010182,1
00001-A010183,00001-B010183,1
00001-A010184,00001-B010184,1
00001-A010185,00001-B010185,1
00001-A010186,00001-B010186,1
00001-A010187,00001-B010187,1
00001-A010188,00001-B010188,1
00001-A010189,00001-B010189,1
00001-A010190,00001-B010190,1
00001-A010191,00001-B010191,1
00001-A010192,00001-B010192,1
00001-A010193,00001-B010193,1
00001-A010194,00001-B010194,1
00001-A010195,00001-B010195,1
00001-A010196,00001-B010196,1
00001-A010197,00001-B010197,1
00001-A010198,00001-B010198,1
00001-A010199,00001-B010199,1
00001-A010200,00001-B010200,1
00001-A010201,00001-B010201,1
00001-A010202,00001-B010202,1
00001-A010203,00001-B010203,1
00001-A010204,00001-B010204,1
00001-A010205,00001-B010205,1
00001-A010206,00001-B010206,1
00001-A010207,00001-B010207,1
00001-A010208,00001-B010208,1
00001-A010209,00001-B010209,1
00001-A010210,00001-B010210,1
00001-A010211,00001-B010211,1
00001-A010212,00001-B010212,1
00001-A010213,00001-B010213,1
00001-A010214,00001-B010214,1
00001-A010215,00001-B010215,1
00001-A010216,00001-B010216,1
00001-A010217,00001-B010217,1
00001-A010218,00001-B010218,1
00001-A010219,00001-B010219,1
00001-A010220,00001-B010220,1
00001-A010221,00001-B010221,1
00001-A010222,00001-B010222,1
00001-A010223,00001-B010223,1
00001-A010224,00001-B010224,1
00001-A010225,00001-B010225,1
00001-A010226,00001-B010226,1
00001-A010227,00001-B010227,1
00001-A010228,00001-B010228,1
00001-A010229,00001-B010229,1
00001-A010230,00001-B010230,1
00001-A010231,00001-B010231,1
00001-A010232,00001-B010232,1
00001-A010233,00001-B010233,1
00001-A010234,00001-B010234,1
00001-A010235,00001-B010235,1
00001-A010236,00001-B010236,1
00001-A010237,00001-B010237,1
